audio,image,song,artist
cinematic_piano,cinematic_piano,Cinematic Piano,AShamaluevMusic
formula_1_theme,formula_1_theme,Formula 1 Theme,Brian Tyler
dark_knight_theme,dark_knight_theme,The Dark Knight Theme,Hans Zimmer
last_to_fall,last_to_fall,Last To Fall,Will van De Crommert
reverie,reverie,Reverie,Ross Bugden
yellowstone,yellowstone,Yellowstone,Brian Tyler
last_dawn,last_dawn,Last Dawn,Ross Bugden
warhawk,warhawk,Warhawk,Kevin Graham
apex,apex,Apex,Kevin Graham
touch,touch,Touch,Mattia Cupelli
